topic,label,description,top_words
138,Navigating Wilderness Environments,"Slaves navigating through dense forests, swamps, and woods, often in pursuit or being pursued, highlighting their experiences with natural environments and the challenges of escaping or tracking individuals.","swamp, tree, road, alligator, pine, fallen, bushe, pine tree, water, wood"
139,Marriage and Family Ties,"The complexities and challenges faced by enslaved individuals in forming romantic relationships and building families, including the role of slave owners and the difficulties of purchasing or acquiring a spouse.","marry, marriage, eliza, mrs price, price, st john, philip, mrs, ensor, maria"
140,Whipping and Plantation Punishment,"Accounts of physical punishment and mistreatment on plantations, including whipping, biting, and other forms of abuse.","gordon, fugitive, miss gordon, pompey, henson, mission hall, aaron, miss perk, perk, sheep"
141,Christianity and Slaveholders,"The complex relationship between Christianity and slaveholding in North America, including the ways in which slaveholders used religion to justify their actions and the ways in which enslaved people found solace and community in Christian worship.","church, thompson, preach, mr grime, sermon, mr thompson, preacher, deacon, grime, anthony"
142,Christian Faith and Preaching,"Narratives of spiritual experiences, conversion, and calls to preach among enslaved individuals, including their interactions with Christian ministers and their own struggles with faith in the face of slavery.","preach, matthia, ferrill, stewart, doctrine, lazarus, stink, christ, jesus, mr folger"
143,Abraham Lincoln's Emancipation and its Aftermath,"The impact of Abraham Lincoln's emancipation policies on the lives of enslaved individuals in North America, including the consequences of Carpet Bag rule and the struggle for independence in Haiti.","abraham lincoln, lincoln, abraham, emancipation, american, rule saw, liberty, tousaint, france, celebrate"
144,Patriotism and National Identity,The importance of loyalty to one's nation and the role of patriotism in achieving freedom and equality.,"soldier, attuck, regiment, american, war, passport, citizen, enlist, nation, liberty"
145,Deception and Betrayal by Slave Traders,"Narrators describe situations where slave traders or owners deceive or betray them, often for financial gain.","doctor, mr wilson, maria, wife child, aunt, mr grip, esq william, gaol, grip, wilson"
146,Purchasing Freedom through Labor,"Narratives of enslaved individuals who purchase their freedom by working and earning money, often in various occupations such as domestic work or on steamboats.","dollar, sold, mrs brown, new orlean, purchase, betsey, orlean, neworlean, maury county, serena"
147,Marriage and Family Separation,"The narratives describe the difficulties of maintaining relationships and family bonds due to the institution of slavery, including the separation of spouses and children through sale or forced labor.","wife child, buy, vandervall, mr barter, young mistress, bibb, sold, cowen, gatewood, cellar"
148,Military Training and Hazing at West Point,"The experiences of cadets undergoing military training and hazing at the United States Military Academy at West Point, including strict regulations, drill exercises, and punishment for disobedience or perceived misconduct.","plebe, cadet, class, camp, drill, benny haven, benny, haz, yearl, guard"
149,Separation from Family,"The emotional pain and difficulty of being separated from loved ones due to the slave trade, including the sale of family members and the struggle to maintain relationships despite physical distance.","mr walker, sound jubilee, nealy, di, walker, sold, day com, john ardinburgh, good funeral, steal meat"
150,Traveling as a Fugitive Slave,"Narratives about escaping from slavery through travel, including experiences of being on the road, encountering obstacles and dangers, and using disguises or deception to avoid capture.","cassy, sojourner, tavern, hostess, thimble, tribute sar, night lodg, york shilling, road, travel"
151,Christian Faith and Salvation,"The importance of faith in Christ's saving grace, salvation, and eternal life, as well as the role of Christianity in personal improvement and moral development.","christ, holy, heaven, israel, faith, gospel, salvation, soul, st peter, holt"
152,The Role of John Jasper as a Baptist Pastor,"John Jasper's leadership and influence as a pastor in the Baptist church, including his preaching style, church growth, and personal characteristics.","pastor, church, baptist, sermon, rev, baptist church, jeter, church rev, jasper, saviour"
153,Grief and Mourning,"The emotional response of individuals to death, loss, and bereavement, often accompanied by descriptions of funerals, mourning rituals, and the impact on those left behind.","mrs lincoln, lincoln, mr lincoln, mrs, white house, willie, grief, president, miss, flower"
154,Escaping Slavery through Military Alliances,"Narratives of enslaved individuals who escaped or attempted to escape slavery by joining British forces during the American Revolutionary War and other conflicts, highlighting the complexities of military alliances and slave resistance.","mallory, war, col, south carolina, gen, col mallory, gen wild, march, guerrilla, raid"
155,Author's Life and Purpose,"The narrative begins with the author's personal life, struggles, and motivations for writing their story. They often dedicate their work to loved ones or institutions, expressing gratitude and seeking compassion from their audience.","aldridge, job, grace, lincoln, mr aldridge, dear mrs, mrs lincoln, dear, mrs keckley, letter"
156,Frederick Douglass as Anti-Slavery Orator,The role of Frederick Douglass in promoting abolition and freedom through public speaking and advocacy.,"douglass, antislavery, speech, mr douglass, haliburton, audience, constitution, abolitionist, frederick, garrison"
157,Whipping and Plantation Punishment,"The use of physical punishment, particularly whipping, as a means of control and discipline on plantations in North America.","overseer, edloe, plantation, whip, randall, dinkie, ben, tobacco, old peter, driver"
158,Prejudice and Social Exclusion at West Point,"Experiences of racism, prejudice, and social exclusion faced by a cadet at West Point, including incidents of unfair treatment, lack of recognition, and condescending behavior from fellow cadets.","cadet, west point, west, prejudice, guard, color cadet, treatment, academy, report, officer"
159,The Power of Positive Thinking and Redemption,"Narratives about finding happiness, hope, and redemption in the face of slavery and hardship, emphasizing the importance of positive thinking and living a virtuous life.","happiness, heaven, thou, dear, hell, self, joys, bles, happy, self love"
160,Christianity and American Politics,"Narrators' experiences with Christianity and its intersection with American politics, including references to the Constitution, Declaration of Independence, and abolitionist movements.","christ king, alia pherson, son christ, pherson, pherson son, king lord, seal, richmond tuesday, tuesday th, king king"
161,Escape Attempts and Punishment,"Narratives of enslaved individuals attempting to escape or evade punishment, including descriptions of whippings, beatings, and other forms of physical punishment.","gad, whip, eat, fetch, mr bass, umbrella, yard, frankee, rope, victual"
162,Abolitionist Movement and American Politics,"The topic explores the intersection of abolitionism and American politics, highlighting the efforts of various groups and individuals to end slavery and promote liberty in the United States.","abraham lincoln, abraham, republic, lincoln, american, principle, nation, union, ireland, government"
163,Christianity and the Treatment of Enslaved People,"The intersection of Christianity and the treatment of enslaved people in North America, including discussions of morality, divine truth, and the potential for redemption.","religion, irish, mr carleton, carleton, anna elizabeth, religious, anna, california, human, hudlun"
164,Extradition of Fugitive Slaves in North America,The process of returning escaped slaves to their owners in accordance with the Fugitive Slave Act and related court cases,"anderson, treaty, extradition, queen bench, court, fugitive slave, writ, canada, fugitive, court queen"
165,Horse Racing and Gambling,"The topic of horse racing and gambling is explored in these narratives, highlighting the excitement and financial risks associated with betting on horses and participating in card games.","sar, horse, cock, bet, burk, smith, cock fight, massa, rider, ju"
166,Leadership and Titles in Haitian Insurrection,"The narrative highlights the emergence of leaders among enslaved individuals, including Jean-François, Biassou, and Toussaint, who assume titles such as High-Admiral, Generalissimo, and Chevalier of the Order of Saint Louis. The text also describes their military strategies and the complexities of their relationships with each other.","ois, fran ois, fran, biassou, jean fran, jean, toussaint, mulatto, jeannot, insurgent"
167,Effective Classroom Management,"Strategies for organizing and supervising students in a classroom setting, including division of tasks, review and correction of work, and maintaining order while allowing for individual progress.","teacher, verb, pupil, correctly, pronoun, lesson, class, division, participle, multiply"
168,Survival and Evasion in the Wilderness,"Narratives about escaping from plantations, finding food and shelter in the woods, and evading capture or punishment.","wood, cattle, dog, rebecka, pigs, barn, camp, kil, pine, oxen"
169,Conversion to Christianity in Africa,"Narratives of enslaved Africans who converted to Christianity, often facilitated by European missionaries or colonial authorities.","colony, missionary, native, cary, africa, liberia, governor, african, owen, stoffle"
170,Abolitionist Influence and Freedom,"The impact of abolitionists on slave thoughts and actions, including the idea of freedom and escape to Canada.","beecher, trade, george, seminary, lyman beecher, new bedford, kentucky, bedford, food, canada"
171,Imprisonment and Interrogation,"The process of being taken into custody, interrogated by authorities, and held in a jail or prison facility, often under harsh conditions.","jail, prison, cell, gaol, iron, jailor, friend alabama, lock, bolt, alabama"
172,Surviving Enslavement,"Narratives of survival, resistance, and the harsh realities of life as an enslaved person in North America.","jupe, jamie, wedge, jarm, nat, wildfire, giant, turk, wood, southampton"
173,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, to discipline slaves on plantations.","lloyd, barney, old barney, col lloyd, horse, stable, col, slaveholder, ostler, wilk"
174,African Royalty and Ceremonies,"The narratives describe the author's experiences with African royalty, including their ceremonies, feasts, and daily life. The authors detail the king's role in society, the importance of hospitality, and the customs surrounding worship and prayer.","king, cowry, tamegah, priest, mos, mayhou, jethro, mos fatherinlaw, festival, procession"
175,Toussaint Louverture's Conflict with French Authorities,"The narrative describes Toussaint Louverture's interactions with the French authorities, including General Le Clerc and Napoleon Bonaparte, as they attempt to reassert control over Haiti.","toussaint, leclerc, christophe, louverture, toussaint louverture, french, squadron, captaingeneral, domingo, cape"
176,African American Clergy and Intellectuals,"The importance and achievements of African American clergy and intellectuals in the fight against slavery and racism, highlighting their contributions to education, literature, and social justice.","church, pastor, fergusson, dr derrick, author, derrick, rev, bishop, minister, episcopal"
177,Whipping and Plantation Punishment,"The use of physical punishment, specifically whipping, as a means of discipline on plantations in North America, often administered by overseers.","overseer, hog, whip, mr lipscomb, lipscomb, burton, pallam, mr pallam, run away, pig"
178,Fugitive Slave Act and Resistance,"The Fugitive Slave Act of 1850, which required the return of escaped slaves to their owners, and the resistance and defiance of this law by abolitionists and fugitive slaves.","prison, convict, ellen, boston, archer, contract, cary, ashmun, mr ashmun, craft"
179,Tobacco Sales and Plantation Economy,"The topic involves the sale of tobacco on plantations, including the prices at which it was sold, the profit made by plantation owners, and the economic dynamics of the plantation system.","tobacco, carr, owen, sell, plug, dimmock, mr smith, mr boylan, profit, boylan"
180,False Accusations and Unfair Trials,"Narratives about being falsely accused, arrested, and put on trial for crimes they did not commit, highlighting the injustices of the slave system.","murder, jury, murder degree, frank, prisoner, verdict, crime, lucy, murderer, trial"
181,Pardons and Judicial Review,"The process of pardoning convicts, the role of courts in reviewing and overturning sentences, and the relationship between judges, governors, and prison boards in determining a convict's fate.","prisoner, parole, court, burn, claimant, petitioner, dana, pardon, law, prison"
182,Free Black Men's Economic Success,"Accounts from free black men who have achieved economic success through various business ventures and professions, often despite racial obstacles.","mr hunt, pierson, mr pierson, hunt, folger, mr folger, matthia, terry, stove, pierson mr"
183,Racial Identity and Biblical Interpretation,"Narratives exploring the connection between racial identity and biblical interpretation, including discussions about the origins of humanity's color and the moral implications of slavery.","ham, fit die, wilk, riland, mr wilk, gehazi, naaman, race ham, mr frierson, jasper"
184,Christian Faith and Morality,"The importance of faith, charity, and morality in a Christian's life, as well as the consequences of failing to live up to these values.","mr wilk, goodness, wilk, heaven, christ, charity, faith, thou, earth, prophet"
185,Education and Career Advancement,"Narratives about formal education, vocational training, and career progression, including access to libraries and law offices, business training, teaching positions, and professional development.","school, cromwell, mr cromwell, teacher, graduat, department, institute, secretary, washington, convention"
186,Slavery and Christianity,"The tension between Christian values and the institution of slavery, highlighting the hypocrisy of slaveholding Christians and the exploitation of enslaved people for financial gain.","preacher, member, christianity, chattel, church, sabbath, religion, class, jamaica, slaveholder"
187,Racial Degradation and Loss of Civilization,"The idea that individuals from white or civilized backgrounds can degenerate into a state of barbarism when removed from their usual environment and exposed to harsh conditions, as seen in the examples of Charlotte Stanley and the Slocum family.","biddy mason, hudlun, angele, los angele, california, biddy, gipsy, mason, los, slocum"
188,Tzatzoe's Life and Leadership,"The narrative of Tzatzoe, a Native African leader who was enslaved in North America but later returned to Africa, where he became a respected leader among his people. He was known for his wisdom, integrity, and ability to maintain peace and order among his tribe.","tzatzoe, tribe, medina, native, odessa, missionary, tubbee, okah tubbee, okah, dr okah"
189,Economic Struggles and Community Development,"Narratives about financial difficulties, debt, and efforts to improve economic conditions through education, community building, and entrepreneurship.","washington, mr washington, terry, conference, community, education, mass, farmer, mortgage crop, crop"
190,Abolitionist Politics and the Vote,"Narrators discuss their knowledge of and involvement in politics, particularly regarding suffrage and voting rights for slaves and freedmen.","suffrage, vote, convention, senator, senate, vote slave, constitution, amendment, measure, delegate"
191,Spiritual Seeking and Plantation Punishment,Narratives of enslaved individuals seeking spiritual guidance and comfort amidst physical punishment and oppression.,"pray, whip, night told, binney pennison, pennison, forgive, forgive master, happy, binney, going meet"
192,French Invasion and Haitian Revolt,"The narrative describes the brutal treatment of enslaved people during the French invasion of Haiti, including the use of bloodhounds to hunt down and kill them, as well as the violent revenge taken by the enslaved against their former masters.","rochambeau, vengeance, punishment, ferrou, sea, portauprince, revolt, french, victim, dessaline"
193,Life on a Riverboat,"Experiences of enslaved individuals working or traveling on riverboats, including their interactions with crew members and officers.","captain, fleet, boat, tawah, planter, ship, allensworth, officer, pilot, vessel"
194,Critique of Slavery and Social Hierarchy,"Narratives that challenge the legitimacy of slavery and social hierarchies, often citing biblical passages to argue for human equality and dignity.","thou, waterford, hast, sorrow woe, philemon, mos roper, caulkin, obligation, roper, thou hast"
195,Whipping and Plantation Punishment,"The use of physical punishment, particularly whipping, by plantation overseers and owners to control and intimidate enslaved individuals.","whip, randall, uncle nelson, juno, lash, jim, mclean, female, nelson, overseer"
196,Missionary Work and African Culture,"Narratives about missionaries' interactions with African cultures, including experiences in Africa and the impact of missionary work on Native American communities.","missionary, africa, miss, kafir, hughe, vashon, mission, institute, mr stewart, native"
197,Escape from Slavery and Plantation Punishment,"The difficulties of escaping from slavery, including the use of physical punishment such as whipping, iron chains, and confinement in small cabins or prisons.","zip, iron, mr gooch, gooch, escape, mcoy, door, lock, pott, sandy"
198,Social Stratification and Racial Hierarchy,"The narratives highlight the rigid social hierarchy in the South, where wealth and slave ownership determine one's status as a gentleman or common man. The aristocracy is depicted as idle and reliant on slaves for labor, while those who work with their hands are relegated to lower classes.","class, sah, poor white, lodge, aristocracy, prince hall, population, mr ward, beaufort, ward"
199,Leaving Home for Education,"The process of leaving home to attend school or seek education, often involving emotional goodbyes and financial struggles.","johnson, new bedford, vinell, bedford, mr vinell, nathan johnson, mr minge, pocketbook, mr johnson, minge"
200,John Jasper's Geocentric Views,"The narrative discusses John Jasper's strong personality and conviction in a geocentric view of the universe, where he believes the sun moves around the earth.","sun, jasper, earth, verse, john jasper, philosopher, mr jasper, revolve, sermon, sun earth"
201,Escape from Slavery,Narratives of enslaved individuals attempting to escape or regain freedom in North America,"colonel, mr read, gaol, stubb, mr stubb, archy, colonel moore, tollerber, moore, gordon"
202,Abolitionist Women's Influence on American Society,"The role of women in the abolitionist movement and their impact on American society, highlighting their leadership, perseverance, and influence on social change.","antislavery, mott, abby kelley, fayerweather, abby, class american, sarah, deprecate, free state, mrs mott"
203,Whipping and Plantation Punishment,"The brutal treatment of enslaved individuals by plantation owners and overseers, including physical punishment such as whipping, flogging, and beating.","whip, eat, ensor, mornin, glassel, corn, jourdine, escap, mr stubb, stubb"
204,Plantation Life and Social Hierarchy,"The social dynamics and daily life on plantations in North America, including the relationships between enslaved people, their owners, and other members of society.","mingo, mr ward, spriggin, break leg, mcarter, mr burkit, burkit, gentleman, horse, leg"
205,Education and Personal Development,"Narratives about seeking education, personal growth, and self-improvement, often in the context of overcoming societal expectations or financial constraints.","school, kent, tuskegee, henson, kent ontario, dollar, ontario, colonial continental, dalton, berea"
206,Education and the Role of Teachers in African American Communities,The importance of education for African Americans during the Reconstruction period and the role of teachers as leaders and influencers within their communities.,"school, tuskegee, teacher, education, oberlin, race, colour, general armstrong, student, class"
207,Persecution by Authorities,Experiences of being harassed or interrupted by law enforcement or other government officials while conducting religious services,"mission, ray, meeting, seattle, sister ray, lord, altar, worker, brother ray, kansa city"
208,Camp Meetings and Revivalism,"Accounts of attending or participating in outdoor religious gatherings, including descriptions of tents, preaching, and community interactions.","tent, camp meet, lord, camp, inskip, mrs, bles, pray, didnt, sister"
209,Escape from Slavery and Seeking Help,"Narratives of enslaved individuals attempting to escape slavery, seeking help from family members or sympathetic individuals, and facing challenges in their pursuit of freedom.","grandmother, linda, mr sand, flint, dr flint, sand, benny, uncle, uncle phillip, betty"
210,Relationships between Slaves and Their Owners,"Narratives describing interactions, emotions, and dynamics between enslaved individuals and their owners or masters.","aunt dice, dice, aunt, riverside, trevor, mos, mos sam, john trevor, anne, sam"
211,European Landmarks and Estates,"Descriptions of European landmarks, estates, and natural scenery, including descriptions of specific locations such as Baden-Baden, the Valley of Tegla, and Hartwell House.","prince, valley, lake, dundee, wale, scenery, dr dick, beautiful, mountain, badenbaden"
212,Whipping and Plantation Punishment,"The use of physical punishment, including whipping, as a means of control and discipline on plantations in North America.","whip, overseer, stubb, mr stubb, randall, major thornton, thornton, benjamin, slave whip, colonel moore"
213,Racial Slurs and Racist Language,"The use of derogatory terms to describe enslaved people or people of African descent, highlighting the racist attitudes and language used by slave owners and their families.","nigger, miss jane, yer, miss, jane, polly, leeche, joyce, aunt polly, doctor"
214,Forbidden Education and Punishment,"The struggle for enslaved individuals to learn and access education, often met with punishment and persecution from slave owners.","learn read, maus, maus oscar, oscar, auld, cucumber, eddie, sah, spell, miss hebe"
215,Church Finances and Membership,"The establishment and growth of churches in mission territory, including property values, membership numbers, and financial contributions from members.","church, dollar, hundr dollar, bishop, conference, thousand dollar, chapel, cost thousand, member, churche"
216,Escape from Slavery,"Narratives of escaping enslaved individuals, including their experiences on plantations, escapes to freedom, and efforts to assist others in escaping.","shaker, massah, zip, john, seth, ship, john anderson, anderson, rick, john glasgow"
217,Establishing Sabbath Schools and Literacy,"The importance of education and literacy in the lives of enslaved individuals, including the establishment of Sabbath schools and the desire to learn reading and writing skills.","sabbathschool, learn read, freeland, classleader, st michael, book, michael, study, mr freeland, school"
218,Escape from Slavery in North America,"Personal accounts of enslaved individuals who escaped or were freed, often detailing their experiences under slavery, their escape routes, and their lives after freedom.","henson, liberia, mr henson, peterson, josiah henson, george sturge, esq, mr peterson, continental church, england"
219,Plantation Management and Labor Disputes,"The topic involves the management of plantations, labor disputes, and conflicts between plantation owners and their workers or employees.","gin, engine, plant, gin plant, uncle scott, scott, seed, bond, mr dickerson, charley"
220,Encounters with Abolitionists and Free Blacks,"Narratives of interactions between enslaved individuals and abolitionists or free blacks who provided assistance, shelter, or guidance in their escape from slavery.","philo, mrs keister, keister, eat, run away, charley, quaker, brown, cato, mrs price"
221,Confrontation with Slave Catchers,"A narrative about a confrontation between enslaved individuals and their slave catchers, including violent attempts to subdue them.","henry, eagan, henry john, dodger, jail, constable, maam, archer, cross hand, pistol"
222,Christianity and Slavery,"The intersection of Christian teachings and the institution of slavery in North America, including the hypocrisy of slave owners who claim to follow Christian principles while practicing cruelty and oppression.","preach, ben, gospel, preacher, lacy, poor slave, peggie, overseer, worship, whip"
223,Encounters with Hunting Dogs,"Narrators describe their experiences being chased by hunting dogs, including encounters with slave owners' hounds and personal pets.","dog, hound, dogs, mr martin, swamp, animal, martin, deer, thoma, tree"
224,Desire for Education,"The narrator's longing to learn and read, often in secret, as a means of personal empowerment and potential freedom.","book, spellingbook, learn read, store, boy, alphabet, white boy, spel, syllable, try learn"
225,Life at Sea and Quarantine,"Experiences of enslaved individuals on ships, including quarantine periods, interactions with crew members, and the challenges of life at sea.","captain, shore, metcalf, boat, foot touch, man nature, captain metcalf, joanna, ashore, youre"
226,Racism and Prejudice in America,"The prevalence of prejudice against people of color in American society, including within churches and institutions, and its impact on the lives of enslaved individuals.","colour, prejudice, american, mr brown, par, america, banneker, sed, dat, rapidly"
227,Theatrical Performances in London,"Narratives about enslaved individuals performing on stage in London, including their experiences and reactions to being treated as actors rather than people.","cheapside, prince, matthia, king, othello, england, desdemona, pierson, chelsea, billdistributor"
228,Whipping and Plantation Punishment,"The harsh treatment and punishment inflicted on enslaved individuals by plantation owners and overseers, including physical abuse and meager living conditions.","mr lovejoy, mpherson, lovejoy, mr sawyer, sawyer, st louis, flog, louis, captain minner, minner"
229,Education and Racial Barriers in Schools,"The challenges faced by African Americans in accessing education, including racial bias, rejection from teaching positions due to skin color, and the struggle for equal opportunities in schools.","school, bettis, teacher, student, academy, professor day, professor, dr delaney, nicholson, new york"
230,"Schooner, Montez, Amistad, Pedro Montez",{,"schooner, montez, amistad, pedro montez, pedro, vessel, captain, steer, ruiz, havana"
231,Faith and Redemption in Slavery,"Narratives of enslaved individuals finding spiritual solace and redemption through their faith in Jesus Christ, despite the harsh realities of slavery.","quamino, standard, jesus, provide, saviour, law, spiritual, principle, sin, duty parent"
232,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, to discipline enslaved individuals on plantations in North America.","beggar, mayoral, peseta, ingenio, mistress, beggar man, dinkie, dat, marfa, miss marfa"
233,Illiteracy and Spiritual Ignorance,"The emotional and psychological impact of being unable to read or understand scripture on enslaved individuals and their families, highlighting the cruel irony of being forced to lead spiritual services without knowledge.","tom, teach, bible, bless lord, lord soul, father son, psalm, lord, anybody teach, learn anybody"
234,Obtaining Passes and Avoiding Punishment,"The difficulties faced by enslaved individuals in obtaining passes to visit other plantations or towns, and the consequences of being caught without a pass, including punishment such as whipping.","kerr, tom, pass, girl, patrol, sell, lawyer, millspaugh, sister, miss kerr"
235,Loss of Family and Caregivers,"Narratives about the emotional impact of losing family members, caregivers, or loved ones due to death, separation, or mistreatment in slaveholding households.","grandmother, flint, nancy, dr flint, mistress, linda, grave, mrs flint, uncle phillip, bury"
236,Economic Impact of Slavery and Emancipation,"The economic effects of slavery and emancipation on the slave trade, population, and market value of slaves in various regions, including Virginia, as well as the impact on commerce and industry.","virginia, population, estimate, shade white, slave population, market, increase, shade, price, annually"
237,Slave Trading and Auctions,"The process of buying, selling, and auctioning enslaved people in New Orleans, including the experiences of being transported on a steamboat and placed in slave pens.","mr walker, walker, mr broadwell, broadwell, new orlean, orlean, bought, merchant, lewis, warehouse"
238,Strangers and Travelers,"Experiences of individuals who are away from home, often as fugitive slaves or travelers, facing various challenges and encounters.","johnny, miss nancy, nancy, noaccount johnny, aaron, noaccount, sarah, miss, henry, mrs whitlock"
239,Traveling and Encounters on the Road,"Narratives of traveling through rural areas, encounters with locals, and experiences with law enforcement or other authorities while on the move.","horse, listwell, rasp, mr ward, ward, constable, loafer, guinea, master richard, rode"
240,Desire for Revenge Against Masters,Narrators express thoughts of harming or killing their masters as a means of revenge against their cruel treatment.,"amos, master amos, axe, commit murder, wretch, murder, kill, shorten, murderer usually, contrive circumstance"
241,Confronting Public Opinion and Slavery,"Narratives about the author's experiences with public opinion, slavery, and their efforts to free themselves or others from bondage.","harriet, isabel, girl, lloyd, mr nottingham, opinion, davenport, nottingham, bone, public opinion"
242,The Nature of Slavery and Its Morality,"Discussions about the inherent evil of slavery, its contradiction to human rights and dignity, and the moral implications of treating people as property.","que, las, property, casa, las casa, law, por, slaveholder, evil, la"
243,Peanut-Based Food and Products,"The use of peanuts as a food source, including recipes and products made from peanuts, such as peanut butter, flour, and bread.","peanut, butter, add, potato, flour, boil, cream, bake, sweet potato, sugar"
244,Government Responsibility for Freedmen,"The expectation that the government should provide support and resources to freed slaves after emancipation, including food, land, and employment opportunities.","freedmen, fortyfourth, contraband, government, fortythird, congress, employ, report, fortyfourth congress, fre"
245,"Exodus, Emigrate, Rochester, Antislavery",{,"exodus, emigrate, rochester, antislavery, peace, color people, nation, unit state, north, slaveholder"
246,Treatment of Millie Christine by Railroad Companies,"The railroad companies' policies and practices regarding the travel arrangements for Millie Christine, a two-headed woman, including issuing her one ticket instead of separate tickets for each head.","millie, christine, millie christine, twohead, christine millie, pancoast, dual, ticket, medical, dual woman"
247,Escaping Slavery,"Narratives of enslaved individuals attempting to escape from their plantations or traders, often involving planning, travel, and encounters with other people who may help or hinder their efforts.","parson, badger answer, badger, lewis, canaan, mr munger, munger, wood, lawrence, upson"
248,Mob Violence and Lynching,"Accounts of violent attacks by mobs on enslaved individuals or escaped slaves, often resulting in serious injury or death.","gorsuch, kline, pinckney, mr gorsuch, wound, fir, kidnapper, steven, thompson, hanway"
249,Overcoming Slavery through Education,Accounts of enslaved individuals who acquire literacy and education as a means to escape or improve their circumstances.,"tuckahoe, race, history, carver, ris son, dr brown, major berry, douglass, picanniny, book"
250,Navigating Racial Prejudice and Securing Support,"The challenges of addressing the 'Negro problem' in a way that gains support from both white and black communities, while also navigating the complexities of racial prejudice and education.","problem, solve, negro problem, race, institution, colour, negro race, solve negro, school, tuskegee"
251,False Accusations and Torture,"Narratives about being falsely accused of crimes, subjected to physical torture, and near-death experiences due to medical experimentation or punishment.","hardy, brown, police, weaver, leah, mr weaver, madison, district attorney, lewis, blanchard"
252,False Accusations and Trials,"Narratives about being falsely accused, put on trial, and facing unjust punishment or prosecution.","welday, freudenberger, squire, lewis, vell, young welday, mr freudenberger, alexander, john alexander, witness"
253,Forced Separation from Family,"The emotional and traumatic experience of being forcibly separated from family members, often during the slave auction process.","proctor, mr proctor, cassy, goodwin, joanna, peterkin, jarm, pepul, mr stubb, mr goodwin"
254,Confrontations with Authority and Betrayal,"Accounts of violent confrontations between enslaved individuals and their captors or overseers, including instances of attempted capture, punishment, and betrayal.","cullen, captain, captain cullen, battle, captain brown, mcknight, hoyt, hotel, general washington, war"
255,Life on a Slave Vessel,Experiences and conditions faced by enslaved individuals while being transported on slave ships or vessels.,"deck, cingue, montez, ruiz, captain, vessel, senor, cutter, slaver, grabeau"
256,Maternal Love and Separation,"The emotional struggles of enslaved mothers separated from their children, highlighting the trauma and distress caused by family separation in slavery.","sear, cassy, st john, mrs wheatley, wheatley, marriage, mr sear, moore, daughter, colonel moore"
257,Older Female Slaves and Community,"Stories about older female slaves who provide guidance, support, and community to other enslaved individuals, often in the context of their daily lives on plantations.","dey, mrs benson, judy, dat, maria, ole, benson, den, chilen, jessie"
258,Life on Plantation with Master Edmondson,"Experiences of enslaved individuals living on a plantation owned by Mr. Edmondson, including interactions with master and mistress, daily life, and encounters with other slaves and outsiders.","johnston, mr edmondson, edmondson, jimmie, abram, miller, old yank, kitchen, yank, mule"
259,Separation from Family and the Emotional Toll of Slavery,"The narratives describe the emotional pain and distress caused by being separated from family members, including siblings and spouses, often due to forced sales or transfers. The stories highlight the psychological impact of slavery on individuals and their families.","stowe, st michael, mrs stowe, michael, brother eldest, baltimore, home canada, mistress brother, son, canada"
260,False Accusations of Forgery and Theft,"Narrators describe false accusations of forgery and theft made against them by former associates or business partners, often in an attempt to discredit or ruin their reputation.","mcnellis, attorney, mortgage, mr fussell, fussell, red, republican, paid attorney, ray, morgan"
261,Chasing and Capture by Slave Catchers,"Accounts of being pursued on foot or horseback by slave catchers, often involving violence and attempts to escape or evade capture.","horse, beg kill, chaise, rail, gooch, mr gooch, wood, road, neck, ran"
262,Racial Progress and White Allies,"Narratives about racial progress, the role of white allies, and the experiences of African Americans in education, literature, and social reform.","haliburton, race, moton, major moton, judge haliburton, colour, elliott, university, white people, color people"
263,Slaveholder's Obligations to Provide Holiday Time,The extent to which slaveholders are expected or required to provide time off for holidays and the ways in which slaves spend their limited free time.,"holiday, dey gib, dur holiday, gib, slaveholder, holiday serve, dey, slave forc, spirit insurrection, slaveholder spirit"
264,The Importance of Perseverance and Collective Action in Achieving Racial Equality,"This topic highlights the significance of perseverance and collective action in achieving racial equality, as emphasized by Hezekiah Grice and others during the Convention Movement. It emphasizes the importance of remembering the afflictions of one's countrymen and working towards the deliverance of enslaved individuals.","equality, convention, hezekiah grice, american, abraham lincoln, hezekiah, cheer, lincoln, social, grice"
265,Plantation Punishment and Escape,"The use of physical punishment, such as whipping and iron collars, to control enslaved individuals, as well as their attempts to escape from plantations.","wood, ensor, gorsuch, dogs, bloodhound, covey, iron, travel, dry, road"
266,Escape from Slavery,"Narratives of enslaved individuals attempting to escape from their plantations or owners, often involving evasion, capture, and recapture.","mr freeland, freeland, jarm, barn, mr hamilton, lane gate, hamilton, horse, sandy, tie"
267,Economic Inequality and Limited Opportunities,"Narratives highlighting the economic disparities faced by African Americans in North America, including limited access to education, employment, and wealth creation opportunities.","raleigh, richmond, dollar, teacher, bank, producer wealth, producer, school, enterpris, young men"
268,Church Leadership and Conflict,"Narratives of church leadership, conflict, and power struggles within African Methodist Episcopal (AME) and Methodist Episcopal conferences in the late 19th century.","preach, brother ward, preacher, bishop, denver, lady, ward, lord, oclock, church"
